time,x,y,intensity,tone,participant_id,cond,block,timestamp,experiment_ended,monitor_resolution_x,monitor_resolution_y,front_x_pos,front_y_pos,front_x_size,front_y_size,back_x_pos,back_y_pos,back_x_size,back_y_size,identifier
0.4486646000004839,-354.0,73.0,1,grey,1,1,neu,2021-06-20_14-11-05,2021-06-20_14-11-34,1920,1080,-307.0,21.0,583.0,825.0,307.0,21.0,583.0,825.0,0
1.0496134999993956,-238.0,154.0,1,grey,1,1,neu,2021-06-20_14-11-05,2021-06-20_14-11-34,1920,1080,-307.0,21.0,583.0,825.0,307.0,21.0,583.0,825.0,1
1.365704399999231,-291.0,234.0,1,grey,1,1,neu,2021-06-20_14-11-05,2021-06-20_14-11-34,1920,1080,-307.0,21.0,583.0,825.0,307.0,21.0,583.0,825.0,2
1.6495087999937823,265.0,128.0,1,grey,1,1,neu,2021-06-20_14-11-05,2021-06-20_14-11-34,1920,1080,-307.0,21.0,583.0,825.0,307.0,21.0,583.0,825.0,3
2.0154550000006566,329.0,164.0,1,grey,1,1,neu,2021-06-20_14-11-05,2021-06-20_14-11-34,1920,1080,-307.0,21.0,583.0,825.0,307.0,21.0,583.0,825.0,4
2.2320313999953214,316.0,240.0,1,grey,1,1,neu,2021-06-20_14-11-05,2021-06-20_14-11-34,1920,1080,-307.0,21.0,583.0,825.0,307.0,21.0,583.0,825.0,5
2.5322821000008844,365.0,266.0,1,grey,1,1,neu,2021-06-20_14-11-05,2021-06-20_14-11-34,1920,1080,-307.0,21.0,583.0,825.0,307.0,21.0,583.0,825.0,6
3.6489838999987114,288.0,366.0,1,grey,1,1,neu,2021-06-20_14-11-05,2021-06-20_14-11-34,1920,1080,-307.0,21.0,583.0,825.0,307.0,21.0,583.0,825.0,7
4.582004199997755,319.0,357.0,1,grey,1,1,neu,2021-06-20_14-11-05,2021-06-20_14-11-34,1920,1080,-307.0,21.0,583.0,825.0,307.0,21.0,583.0,825.0,8
4.948939499998232,330.0,365.0,2,grey,1,1,neu,2021-06-20_14-11-05,2021-06-20_14-11-34,1920,1080,-307.0,21.0,583.0,825.0,307.0,21.0,583.0,825.0,9
5.5654160999984015,310.0,333.0,2,grey,1,1,neu,2021-06-20_14-11-05,2021-06-20_14-11-34,1920,1080,-307.0,21.0,583.0,825.0,307.0,21.0,583.0,825.0,10
6.865843799998402,-329.0,376.0,1,grey,1,1,neu,2021-06-20_14-11-05,2021-06-20_14-11-34,1920,1080,-307.0,21.0,583.0,825.0,307.0,21.0,583.0,825.0,11
7.582016100001056,-289.0,374.0,1,grey,1,1,neu,2021-06-20_14-11-05,2021-06-20_14-11-34,1920,1080,-307.0,21.0,583.0,825.0,307.0,21.0,583.0,825.0,12
8.48210099998687,-327.0,346.0,1,grey,1,1,neu,2021-06-20_14-11-05,2021-06-20_14-11-34,1920,1080,-307.0,21.0,583.0,825.0,307.0,21.0,583.0,825.0,13
8.849189399988973,-314.0,333.0,1,grey,1,1,neu,2021-06-20_14-11-05,2021-06-20_14-11-34,1920,1080,-307.0,21.0,583.0,825.0,307.0,21.0,583.0,825.0,14
9.248515699990094,-293.0,333.0,1,grey,1,1,neu,2021-06-20_14-11-05,2021-06-20_14-11-34,1920,1080,-307.0,21.0,583.0,825.0,307.0,21.0,583.0,825.0,15
9.731735800000024,-286.0,344.0,1,grey,1,1,neu,2021-06-20_14-11-05,2021-06-20_14-11-34,1920,1080,-307.0,21.0,583.0,825.0,307.0,21.0,583.0,825.0,16
17.514936099993065,-264.0,-94.0,1,grey,1,1,neu,2021-06-20_14-11-05,2021-06-20_14-11-34,1920,1080,-307.0,21.0,583.0,825.0,307.0,21.0,583.0,825.0,17
17.86627809998754,-242.0,-77.0,1,grey,1,1,neu,2021-06-20_14-11-05,2021-06-20_14-11-34,1920,1080,-307.0,21.0,583.0,825.0,307.0,21.0,583.0,825.0,18
18.448413499994786,-262.0,-128.0,2,grey,1,1,neu,2021-06-20_14-11-05,2021-06-20_14-11-34,1920,1080,-307.0,21.0,583.0,825.0,307.0,21.0,583.0,825.0,19
19.198273999994854,-234.0,-100.0,4,grey,1,1,neu,2021-06-20_14-11-05,2021-06-20_14-11-34,1920,1080,-307.0,21.0,583.0,825.0,307.0,21.0,583.0,825.0,20
19.448692699996172,-236.0,-119.0,3,grey,1,1,neu,2021-06-20_14-11-05,2021-06-20_14-11-34,1920,1080,-307.0,21.0,583.0,825.0,307.0,21.0,583.0,825.0,21
19.84842409999692,-252.0,-129.0,3,grey,1,1,neu,2021-06-20_14-11-05,2021-06-20_14-11-34,1920,1080,-307.0,21.0,583.0,825.0,307.0,21.0,583.0,825.0,22
20.31507359999523,-266.0,-143.0,1,grey,1,1,neu,2021-06-20_14-11-05,2021-06-20_14-11-34,1920,1080,-307.0,21.0,583.0,825.0,307.0,21.0,583.0,825.0,23
